source_row_index,Status,Progress,Duration (in seconds),Finished,DistributionChannel,UserLanguage,UV1,UV2,UV3,Q1,Q2,SC0,speaker,question_column,question_id,survey_order,response_numeric,response_letter,solution_letter,is_correct
9,0,100,436,1,anonymous,EN,1.0,1.0,1.0,1.0,2.0,16,speaker1,speaker1_ns1_item4,ns1_item4,18,1,A,B,0
9,0,100,436,1,anonymous,EN,1.0,1.0,1.0,1.0,2.0,16,speaker1,speaker1_ns3_item3,ns3_item3,19,1,A,B,0
9,0,100,436,1,anonymous,EN,1.0,1.0,1.0,1.0,2.0,16,speaker1,speaker1_ns1_item7,ns1_item7,20,1,A,B,0
9,0,100,436,1,anonymous,EN,1.0,1.0,1.0,1.0,2.0,16,speaker1,speaker1_ns2_item0,ns2_item0,21,1,A,B,0
9,0,100,436,1,anonymous,EN,1.0,1.0,1.0,1.0,2.0,16,speaker1,speaker1_ns1_item0,ns1_item0,22,3,C,C,1
9,0,100,436,1,anonymous,EN,1.0,1.0,1.0,1.0,2.0,16,speaker1,speaker1_ns1_item3,ns1_item3,23,1,A,A,1
9,0,100,436,1,anonymous,EN,1.0,1.0,1.0,1.0,2.0,16,speaker1,speaker1_ns3_item4,ns3_item4,24,3,C,C,1
10,0,100,846,1,anonymous,EN,1.0,1.0,1.0,2.0,2.0,21,speaker2,speaker2_ns2_item7,ns2_item7,1,1,A,B,0
10,0,100,846,1,anonymous,EN,1.0,1.0,1.0,2.0,2.0,21,speaker2,speaker2_ns1_item5,ns1_item5,2,1,A,A,1
10,0,100,846,1,anonymous,EN,1.0,1.0,1.0,2.0,2.0,21,speaker2,speaker2_ns3_item2,ns3_item2,3,1,A,A,1
10,0,100,846,1,anonymous,EN,1.0,1.0,1.0,2.0,2.0,21,speaker2,speaker2_ns3_item7,ns3_item7,4,1,A,B,0
10,0,100,846,1,anonymous,EN,1.0,1.0,1.0,2.0,2.0,21,speaker2,speaker2_ns2_item5,ns2_item5,5,1,A,A,1
10,0,100,846,1,anonymous,EN,1.0,1.0,1.0,2.0,2.0,21,speaker2,speaker2_ns2_item2,ns2_item2,6,1,A,A,1
10,0,100,846,1,anonymous,EN,1.0,1.0,1.0,2.0,2.0,21,speaker2,speaker2_ns3_item1,ns3_item1,7,3,C,C,1
10,0,100,846,1,anonymous,EN,1.0,1.0,1.0,2.0,2.0,21,speaker2,speaker2_ns2_item3,ns2_item3,8,3,C,B,0
10,0,100,846,1,anonymous,EN,1.0,1.0,1.0,2.0,2.0,21,speaker2,speaker2_ns2_item6,ns2_item6,9,2,B,B,1
10,0,100,846,1,anonymous,EN,1.0,1.0,1.0,2.0,2.0,21,speaker2,speaker2_ns3_item0,ns3_item0,10,2,B,B,1
10,0,100,846,1,anonymous,EN,1.0,1.0,1.0,2.0,2.0,21,speaker2,speaker2_ns1_item1,ns1_item1,11,2,B,B,1
10,0,100,846,1,anonymous,EN,1.0,1.0,1.0,2.0,2.0,21,speaker2,speaker2_ns2_item4,ns2_item4,12,3,C,C,1
10,0,100,846,1,anonymous,EN,1.0,1.0,1.0,2.0,2.0,21,speaker2,speaker2_ns3_item5,ns3_item5,13,1,A,A,1
10,0,100,846,1,anonymous,EN,1.0,1.0,1.0,2.0,2.0,21,speaker2,speaker2_ns1_item6,ns1_item6,14,3,C,C,1
10,0,100,846,1,anonymous,EN,1.0,1.0,1.0,2.0,2.0,21,speaker2,speaker2_ns2_item1,ns2_item1,15,3,C,C,1
10,0,100,846,1,anonymous,EN,1.0,1.0,1.0,2.0,2.0,21,speaker2,speaker2_ns1_item2,ns1_item2,16,2,B,B,1
10,0,100,846,1,anonymous,EN,1.0,1.0,1.0,2.0,2.0,21,speaker2,speaker2_ns3_item6,ns3_item6,17,2,B,B,1
10,0,100,846,1,anonymous,EN,1.0,1.0,1.0,2.0,2.0,21,speaker2,speaker2_ns1_item4,ns1_item4,18,2,B,B,1
10,0,100,846,1,anonymous,EN,1.0,1.0,1.0,2.0,2.0,21,speaker2,speaker2_ns3_item3,ns3_item3,19,2,B,B,1
10,0,100,846,1,anonymous,EN,1.0,1.0,1.0,2.0,2.0,21,speaker2,speaker2_ns1_item7,ns1_item7,20,2,B,B,1
10,0,100,846,1,anonymous,EN,1.0,1.0,1.0,2.0,2.0,21,speaker2,speaker2_ns2_item0,ns2_item0,21,2,B,B,1
10,0,100,846,1,anonymous,EN,1.0,1.0,1.0,2.0,2.0,21,speaker2,speaker2_ns1_item0,ns1_item0,22,3,C,C,1
10,0,100,846,1,anonymous,EN,1.0,1.0,1.0,2.0,2.0,21,speaker2,speaker2_ns1_item3,ns1_item3,23,1,A,A,1
10,0,100,846,1,anonymous,EN,1.0,1.0,1.0,2.0,2.0,21,speaker2,speaker2_ns3_item4,ns3_item4,24,3,C,C,1
15,0,100,730,1,anonymous,EN,1.0,1.0,1.0,1.0,2.0,22,speaker0,speaker0_ns2_item7,ns2_item7,1,2,B,B,1
15,0,100,730,1,anonymous,EN,1.0,1.0,1.0,1.0,2.0,22,speaker0,speaker0_ns1_item5,ns1_item5,2,1,A,A,1
15,0,100,730,1,anonymous,EN,1.0,1.0,1.0,1.0,2.0,22,speaker0,speaker0_ns3_item2,ns3_item2,3,1,A,A,1
15,0,100,730,1,anonymous,EN,1.0,1.0,1.0,1.0,2.0,22,speaker0,speaker0_ns3_item7,ns3_item7,4,2,B,B,1
15,0,100,730,1,anonymous,EN,1.0,1.0,1.0,1.0,2.0,22,speaker0,speaker0_ns2_item5,ns2_item5,5,1,A,A,1
15,0,100,730,1,anonymous,EN,1.0,1.0,1.0,1.0,2.0,22,speaker0,speaker0_ns2_item2,ns2_item2,6,1,A,A,1
15,0,100,730,1,anonymous,EN,1.0,1.0,1.0,1.0,2.0,22,speaker0,speaker0_ns3_item1,ns3_item1,7,3,C,C,1
15,0,100,730,1,anonymous,EN,1.0,1.0,1.0,1.0,2.0,22,speaker0,speaker0_ns2_item3,ns2_item3,8,2,B,B,1
15,0,100,730,1,anonymous,EN,1.0,1.0,1.0,1.0,2.0,22,speaker0,speaker0_ns2_item6,ns2_item6,9,2,B,B,1
15,0,100,730,1,anonymous,EN,1.0,1.0,1.0,1.0,2.0,22,speaker0,speaker0_ns3_item0,ns3_item0,10,2,B,B,1
15,0,100,730,1,anonymous,EN,1.0,1.0,1.0,1.0,2.0,22,speaker0,speaker0_ns1_item1,ns1_item1,11,2,B,B,1
15,0,100,730,1,anonymous,EN,1.0,1.0,1.0,1.0,2.0,22,speaker0,speaker0_ns2_item4,ns2_item4,12,3,C,C,1
15,0,100,730,1,anonymous,EN,1.0,1.0,1.0,1.0,2.0,22,speaker0,speaker0_ns3_item5,ns3_item5,13,1,A,A,1
15,0,100,730,1,anonymous,EN,1.0,1.0,1.0,1.0,2.0,22,speaker0,speaker0_ns1_item6,ns1_item6,14,2,B,C,0
15,0,100,730,1,anonymous,EN,1.0,1.0,1.0,1.0,2.0,22,speaker0,speaker0_ns2_item1,ns2_item1,15,3,C,C,1
15,0,100,730,1,anonymous,EN,1.0,1.0,1.0,1.0,2.0,22,speaker0,speaker0_ns1_item2,ns1_item2,16,2,B,B,1
15,0,100,730,1,anonymous,EN,1.0,1.0,1.0,1.0,2.0,22,speaker0,speaker0_ns3_item6,ns3_item6,17,2,B,B,1
15,0,100,730,1,anonymous,EN,1.0,1.0,1.0,1.0,2.0,22,speaker0,speaker0_ns1_item4,ns1_item4,18,2,B,B,1
15,0,100,730,1,anonymous,EN,1.0,1.0,1.0,1.0,2.0,22,speaker0,speaker0_ns3_item3,ns3_item3,19,2,B,B,1
15,0,100,730,1,anonymous,EN,1.0,1.0,1.0,1.0,2.0,22,speaker0,speaker0_ns1_item7,ns1_item7,20,1,A,B,0
15,0,100,730,1,anonymous,EN,1.0,1.0,1.0,1.0,2.0,22,speaker0,speaker0_ns2_item0,ns2_item0,21,2,B,B,1
15,0,100,730,1,anonymous,EN,1.0,1.0,1.0,1.0,2.0,22,speaker0,speaker0_ns1_item0,ns1_item0,22,3,C,C,1
15,0,100,730,1,anonymous,EN,1.0,1.0,1.0,1.0,2.0,22,speaker0,speaker0_ns1_item3,ns1_item3,23,1,A,A,1
15,0,100,730,1,anonymous,EN,1.0,1.0,1.0,1.0,2.0,22,speaker0,speaker0_ns3_item4,ns3_item4,24,3,C,C,1
18,0,100,240,1,anonymous,EN,1.0,1.0,1.0,1.0,1.0,5,speaker2,speaker2_ns2_item7,ns2_item7,1,1,A,B,0
18,0,100,240,1,anonymous,EN,1.0,1.0,1.0,1.0,1.0,5,speaker2,speaker2_ns1_item5,ns1_item5,2,1,A,A,1
18,0,100,240,1,anonymous,EN,1.0,1.0,1.0,1.0,1.0,5,speaker2,speaker2_ns3_item2,ns3_item2,3,2,B,A,0
18,0,100,240,1,anonymous,EN,1.0,1.0,1.0,1.0,1.0,5,speaker2,speaker2_ns3_item7,ns3_item7,4,3,C,B,0
18,0,100,240,1,anonymous,EN,1.0,1.0,1.0,1.0,1.0,5,speaker2,speaker2_ns2_item5,ns2_item5,5,1,A,A,1
18,0,100,240,1,anonymous,EN,1.0,1.0,1.0,1.0,1.0,5,speaker2,speaker2_ns2_item2,ns2_item2,6,1,A,A,1
18,0,100,240,1,anonymous,EN,1.0,1.0,1.0,1.0,1.0,5,speaker2,speaker2_ns3_item1,ns3_item1,7,2,B,C,0
18,0,100,240,1,anonymous,EN,1.0,1.0,1.0,1.0,1.0,5,speaker2,speaker2_ns2_item3,ns2_item3,8,1,A,B,0
18,0,100,240,1,anonymous,EN,1.0,1.0,1.0,1.0,1.0,5,speaker2,speaker2_ns2_item6,ns2_item6,9,1,A,B,0
18,0,100,240,1,anonymous,EN,1.0,1.0,1.0,1.0,1.0,5,speaker2,speaker2_ns3_item0,ns3_item0,10,1,A,B,0
18,0,100,240,1,anonymous,EN,1.0,1.0,1.0,1.0,1.0,5,speaker2,speaker2_ns1_item1,ns1_item1,11,1,A,B,0
18,0,100,240,1,anonymous,EN,1.0,1.0,1.0,1.0,1.0,5,speaker2,speaker2_ns2_item4,ns2_item4,12,1,A,C,0
18,0,100,240,1,anonymous,EN,1.0,1.0,1.0,1.0,1.0,5,speaker2,speaker2_ns3_item5,ns3_item5,13,1,A,A,1
18,0,100,240,1,anonymous,EN,1.0,1.0,1.0,1.0,1.0,5,speaker2,speaker2_ns1_item6,ns1_item6,14,1,A,C,0
18,0,100,240,1,anonymous,EN,1.0,1.0,1.0,1.0,1.0,5,speaker2,speaker2_ns2_item1,ns2_item1,15,1,A,C,0
18,0,100,240,1,anonymous,EN,1.0,1.0,1.0,1.0,1.0,5,speaker2,speaker2_ns1_item2,ns1_item2,16,1,A,B,0
18,0,100,240,1,anonymous,EN,1.0,1.0,1.0,1.0,1.0,5,speaker2,speaker2_ns3_item6,ns3_item6,17,1,A,B,0
18,0,100,240,1,anonymous,EN,1.0,1.0,1.0,1.0,1.0,5,speaker2,speaker2_ns1_item4,ns1_item4,18,1,A,B,0
18,0,100,240,1,anonymous,EN,1.0,1.0,1.0,1.0,1.0,5,speaker2,speaker2_ns3_item3,ns3_item3,19,1,A,B,0
18,0,100,240,1,anonymous,EN,1.0,1.0,1.0,1.0,1.0,5,speaker2,speaker2_ns1_item7,ns1_item7,20,1,A,B,0
18,0,100,240,1,anonymous,EN,1.0,1.0,1.0,1.0,1.0,5,speaker2,speaker2_ns2_item0,ns2_item0,21,1,A,B,0
18,0,100,240,1,anonymous,EN,1.0,1.0,1.0,1.0,1.0,5,speaker2,speaker2_ns1_item0,ns1_item0,22,1,A,C,0
18,0,100,240,1,anonymous,EN,1.0,1.0,1.0,1.0,1.0,5,speaker2,speaker2_ns1_item3,ns1_item3,23,1,A,A,1
18,0,100,240,1,anonymous,EN,1.0,1.0,1.0,1.0,1.0,5,speaker2,speaker2_ns3_item4,ns3_item4,24,1,A,C,0
22,0,100,245,1,anonymous,EN,1.0,1.0,1.0,2.0,1.0,21,speaker0,speaker0_ns2_item7,ns2_item7,1,2,B,B,1
22,0,100,245,1,anonymous,EN,1.0,1.0,1.0,2.0,1.0,21,speaker0,speaker0_ns1_item5,ns1_item5,2,1,A,A,1
22,0,100,245,1,anonymous,EN,1.0,1.0,1.0,2.0,1.0,21,speaker0,speaker0_ns3_item2,ns3_item2,3,1,A,A,1
22,0,100,245,1,anonymous,EN,1.0,1.0,1.0,2.0,1.0,21,speaker0,speaker0_ns3_item7,ns3_item7,4,2,B,B,1
22,0,100,245,1,anonymous,EN,1.0,1.0,1.0,2.0,1.0,21,speaker0,speaker0_ns2_item5,ns2_item5,5,1,A,A,1
22,0,100,245,1,anonymous,EN,1.0,1.0,1.0,2.0,1.0,21,speaker0,speaker0_ns2_item2,ns2_item2,6,1,A,A,1
22,0,100,245,1,anonymous,EN,1.0,1.0,1.0,2.0,1.0,21,speaker0,speaker0_ns3_item1,ns3_item1,7,3,C,C,1
22,0,100,245,1,anonymous,EN,1.0,1.0,1.0,2.0,1.0,21,speaker0,speaker0_ns2_item3,ns2_item3,8,2,B,B,1
22,0,100,245,1,anonymous,EN,1.0,1.0,1.0,2.0,1.0,21,speaker0,speaker0_ns2_item6,ns2_item6,9,2,B,B,1
22,0,100,245,1,anonymous,EN,1.0,1.0,1.0,2.0,1.0,21,speaker0,speaker0_ns3_item0,ns3_item0,10,2,B,B,1
22,0,100,245,1,anonymous,EN,1.0,1.0,1.0,2.0,1.0,21,speaker0,speaker0_ns1_item1,ns1_item1,11,1,A,B,0
22,0,100,245,1,anonymous,EN,1.0,1.0,1.0,2.0,1.0,21,speaker0,speaker0_ns2_item4,ns2_item4,12,1,A,C,0
22,0,100,245,1,anonymous,EN,1.0,1.0,1.0,2.0,1.0,21,speaker0,speaker0_ns3_item5,ns3_item5,13,1,A,A,1
22,0,100,245,1,anonymous,EN,1.0,1.0,1.0,2.0,1.0,21,speaker0,speaker0_ns1_item6,ns1_item6,14,1,A,C,0
22,0,100,245,1,anonymous,EN,1.0,1.0,1.0,2.0,1.0,21,speaker0,speaker0_ns2_item1,ns2_item1,15,3,C,C,1
22,0,100,245,1,anonymous,EN,1.0,1.0,1.0,2.0,1.0,21,speaker0,speaker0_ns1_item2,ns1_item2,16,2,B,B,1
22,0,100,245,1,anonymous,EN,1.0,1.0,1.0,2.0,1.0,21,speaker0,speaker0_ns3_item6,ns3_item6,17,2,B,B,1
22,0,100,245,1,anonymous,EN,1.0,1.0,1.0,2.0,1.0,21,speaker0,speaker0_ns1_item4,ns1_item4,18,2,B,B,1
22,0,100,245,1,anonymous,EN,1.0,1.0,1.0,2.0,1.0,21,speaker0,speaker0_ns3_item3,ns3_item3,19,2,B,B,1
22,0,100,245,1,anonymous,EN,1.0,1.0,1.0,2.0,1.0,21,speaker0,speaker0_ns1_item7,ns1_item7,20,2,B,B,1
22,0,100,245,1,anonymous,EN,1.0,1.0,1.0,2.0,1.0,21,speaker0,speaker0_ns2_item0,ns2_item0,21,2,B,B,1
22,0,100,245,1,anonymous,EN,1.0,1.0,1.0,2.0,1.0,21,speaker0,speaker0_ns1_item0,ns1_item0,22,3,C,C,1
22,0,100,245,1,anonymous,EN,1.0,1.0,1.0,2.0,1.0,21,speaker0,speaker0_ns1_item3,ns1_item3,23,1,A,A,1
22,0,100,245,1,anonymous,EN,1.0,1.0,1.0,2.0,1.0,21,speaker0,speaker0_ns3_item4,ns3_item4,24,3,C,C,1
25,0,100,575,1,anonymous,EN,1.0,1.0,1.0,1.0,2.0,21,speaker1,speaker1_ns2_item7,ns2_item7,1,2,B,B,1
25,0,100,575,1,anonymous,EN,1.0,1.0,1.0,1.0,2.0,21,speaker1,speaker1_ns1_item5,ns1_item5,2,1,A,A,1
25,0,100,575,1,anonymous,EN,1.0,1.0,1.0,1.0,2.0,21,speaker1,speaker1_ns3_item2,ns3_item2,3,2,B,A,0
25,0,100,575,1,anonymous,EN,1.0,1.0,1.0,1.0,2.0,21,speaker1,speaker1_ns3_item7,ns3_item7,4,2,B,B,1
25,0,100,575,1,anonymous,EN,1.0,1.0,1.0,1.0,2.0,21,speaker1,speaker1_ns2_item5,ns2_item5,5,2,B,A,0
25,0,100,575,1,anonymous,EN,1.0,1.0,1.0,1.0,2.0,21,speaker1,speaker1_ns2_item2,ns2_item2,6,1,A,A,1
25,0,100,575,1,anonymous,EN,1.0,1.0,1.0,1.0,2.0,21,speaker1,speaker1_ns3_item1,ns3_item1,7,3,C,C,1
25,0,100,575,1,anonymous,EN,1.0,1.0,1.0,1.0,2.0,21,speaker1,speaker1_ns2_item3,ns2_item3,8,2,B,B,1
25,0,100,575,1,anonymous,EN,1.0,1.0,1.0,1.0,2.0,21,speaker1,speaker1_ns2_item6,ns2_item6,9,2,B,B,1
25,0,100,575,1,anonymous,EN,1.0,1.0,1.0,1.0,2.0,21,speaker1,speaker1_ns3_item0,ns3_item0,10,2,B,B,1
25,0,100,575,1,anonymous,EN,1.0,1.0,1.0,1.0,2.0,21,speaker1,speaker1_ns1_item1,ns1_item1,11,2,B,B,1
25,0,100,575,1,anonymous,EN,1.0,1.0,1.0,1.0,2.0,21,speaker1,speaker1_ns2_item4,ns2_item4,12,3,C,C,1
25,0,100,575,1,anonymous,EN,1.0,1.0,1.0,1.0,2.0,21,speaker1,speaker1_ns3_item5,ns3_item5,13,2,B,A,0
25,0,100,575,1,anonymous,EN,1.0,1.0,1.0,1.0,2.0,21,speaker1,speaker1_ns1_item6,ns1_item6,14,3,C,C,1
25,0,100,575,1,anonymous,EN,1.0,1.0,1.0,1.0,2.0,21,speaker1,speaker1_ns2_item1,ns2_item1,15,3,C,C,1
25,0,100,575,1,anonymous,EN,1.0,1.0,1.0,1.0,2.0,21,speaker1,speaker1_ns1_item2,ns1_item2,16,2,B,B,1
25,0,100,575,1,anonymous,EN,1.0,1.0,1.0,1.0,2.0,21,speaker1,speaker1_ns3_item6,ns3_item6,17,2,B,B,1
25,0,100,575,1,anonymous,EN,1.0,1.0,1.0,1.0,2.0,21,speaker1,speaker1_ns1_item4,ns1_item4,18,2,B,B,1
25,0,100,575,1,anonymous,EN,1.0,1.0,1.0,1.0,2.0,21,speaker1,speaker1_ns3_item3,ns3_item3,19,2,B,B,1
25,0,100,575,1,anonymous,EN,1.0,1.0,1.0,1.0,2.0,21,speaker1,speaker1_ns1_item7,ns1_item7,20,2,B,B,1
25,0,100,575,1,anonymous,EN,1.0,1.0,1.0,1.0,2.0,21,speaker1,speaker1_ns2_item0,ns2_item0,21,2,B,B,1
25,0,100,575,1,anonymous,EN,1.0,1.0,1.0,1.0,2.0,21,speaker1,speaker1_ns1_item0,ns1_item0,22,3,C,C,1
25,0,100,575,1,anonymous,EN,1.0,1.0,1.0,1.0,2.0,21,speaker1,speaker1_ns1_item3,ns1_item3,23,1,A,A,1
25,0,100,575,1,anonymous,EN,1.0,1.0,1.0,1.0,2.0,21,speaker1,speaker1_ns3_item4,ns3_item4,24,3,C,C,1
26,0,100,228,1,anonymous,EN,1.0,1.0,1.0,1.0,1.0,11,speaker1,speaker1_ns2_item7,ns2_item7,1,2,B,B,1
26,0,100,228,1,anonymous,EN,1.0,1.0,1.0,1.0,1.0,11,speaker1,speaker1_ns1_item5,ns1_item5,2,2,B,A,0
26,0,100,228,1,anonymous,EN,1.0,1.0,1.0,1.0,1.0,11,speaker1,speaker1_ns3_item2,ns3_item2,3,2,B,A,0
26,0,100,228,1,anonymous,EN,1.0,1.0,1.0,1.0,1.0,11,speaker1,speaker1_ns3_item7,ns3_item7,4,1,A,B,0
26,0,100,228,1,anonymous,EN,1.0,1.0,1.0,1.0,1.0,11,speaker1,speaker1_ns2_item5,ns2_item5,5,2,B,A,0
26,0,100,228,1,anonymous,EN,1.0,1.0,1.0,1.0,1.0,11,speaker1,speaker1_ns2_item2,ns2_item2,6,2,B,A,0
26,0,100,228,1,anonymous,EN,1.0,1.0,1.0,1.0,1.0,11,speaker1,speaker1_ns3_item1,ns3_item1,7,2,B,C,0
26,0,100,228,1,anonymous,EN,1.0,1.0,1.0,1.0,1.0,11,speaker1,speaker1_ns2_item3,ns2_item3,8,2,B,B,1
26,0,100,228,1,anonymous,EN,1.0,1.0,1.0,1.0,1.0,11,speaker1,speaker1_ns2_item6,ns2_item6,9,2,B,B,1
26,0,100,228,1,anonymous,EN,1.0,1.0,1.0,1.0,1.0,11,speaker1,speaker1_ns3_item0,ns3_item0,10,2,B,B,1
26,0,100,228,1,anonymous,EN,1.0,1.0,1.0,1.0,1.0,11,speaker1,speaker1_ns1_item1,ns1_item1,11,2,B,B,1
26,0,100,228,1,anonymous,EN,1.0,1.0,1.0,1.0,1.0,11,speaker1,speaker1_ns2_item4,ns2_item4,12,2,B,C,0
26,0,100,228,1,anonymous,EN,1.0,1.0,1.0,1.0,1.0,11,speaker1,speaker1_ns3_item5,ns3_item5,13,2,B,A,0
26,0,100,228,1,anonymous,EN,1.0,1.0,1.0,1.0,1.0,11,speaker1,speaker1_ns1_item6,ns1_item6,14,2,B,C,0
26,0,100,228,1,anonymous,EN,1.0,1.0,1.0,1.0,1.0,11,speaker1,speaker1_ns2_item1,ns2_item1,15,2,B,C,0
26,0,100,228,1,anonymous,EN,1.0,1.0,1.0,1.0,1.0,11,speaker1,speaker1_ns1_item2,ns1_item2,16,2,B,B,1
26,0,100,228,1,anonymous,EN,1.0,1.0,1.0,1.0,1.0,11,speaker1,speaker1_ns3_item6,ns3_item6,17,2,B,B,1
